episodes,rounds,steps,reward_per_episode,loss_ma
80,25802,25722,-0.032000,0.064421
160,49062,48902,-0.280600,0.029166
240,71831,71591,0.057800,0.030792
320,95913,95593,-1.126000,0.042865
400,115100,114700,-0.301800,0.018574
